ID,Latitude,Longitude,Node,Risk Value,Time,Date
1,48.1,126.2,Breader,0.2024,1:22:42,9/8/22
2,21.28,109.06,Production,0.4033,2:32:52,8/30/22
3,43.52,116.02,Transportation,0.2148,3:43:02,9/1/22
4,45.3,126.58,Retail,0.2065,4:53:12,9/4/22
5,50.1,127.3,Customer,0.7700,6:03:22,9/5/22
6,35.15,79.55,Production,0.7798,7:13:32,9/7/22
7,41.05,80.1,Transportation,0.9062,8:23:42,8/29/22
8,47.48,88.1,Retail,0.6666,9:33:52,8/28/22
9,38.3,88,Customer,0.6598,10:44:02,9/2/22
10,24.25,118.04,Breader,0.1876,11:54:12,9/3/22